Move Number,Move Code Name,Move Full Name,Function Code
1,MEGAHORN,Megahorn,
2,ATTACKORDER,Attack Order,
3,BUGBUZZ,Bug Buzz,
4,XSCISSOR,X-Scissor,
5,SIGNALBEAM,Signal Beam,
6,UTURN,U-turn,
7,STEAMROLLER,Steamroller,
8,BUGBITE,Bug Bite,
9,SILVERWIND,Silver Wind,
10,STRUGGLEBUG,Struggle Bug,
11,TWINEEDLE,Twineedle,
12,FURYCUTTER,Fury Cutter,
13,LEECHLIFE,Leech Life,
14,PINMISSILE,Pin Missile,
15,DEFENDORDER,Defend Order,
16,HEALORDER,Heal Order,
17,QUIVERDANCE,Quiver Dance,
18,RAGEPOWDER,Rage Powder,
19,SPIDERWEB,Spider Web,
20,STRINGSHOT,String Shot,
21,TAILGLOW,Tail Glow,
22,FOULPLAY,Foul Play,
23,NIGHTDAZE,Night Daze,
24,CRUNCH,Crunch,
25,DARKPULSE,Dark Pulse,
26,SUCKERPUNCH,Sucker Punch,
27,NIGHTSLASH,Night Slash,
28,BITE,Bite,
29,FEINTATTACK,Feint Attack,
30,SNARL,Snarl,
31,ASSURANCE,Assurance,
32,PAYBACK,Payback,
33,PURSUIT,Pursuit,
34,THIEF,Thief,
35,KNOCKOFF,Knock Off,
36,BEATUP,Beat Up,
37,FLING,Fling,
38,PUNISHMENT,Punishment,
39,DARKVOID,Dark Void,
40,EMBARGO,Embargo,
41,FAKETEARS,Fake Tears,
42,FLATTER,Flatter,
43,HONECLAWS,Hone Claws,
44,MEMENTO,Memento,
45,NASTYPLOT,Nasty Plot,
46,QUASH,Quash,
47,SNATCH,Snatch,
48,SWITCHEROO,Switcheroo,
49,TAUNT,Taunt,
50,TORMENT,Torment,
51,ROAROFTIME,Roar of Time,
52,DRACOMETEOR,Draco Meteor,
53,OUTRAGE,Outrage,
54,DRAGONRUSH,Dragon Rush,
55,SPACIALREND,Spacial Rend,
56,DRAGONPULSE,Dragon Pulse,
57,DRAGONCLAW,Dragon Claw,
58,DRAGONTAIL,Dragon Tail,
59,DRAGONBREATH,Dragon Breath,
60,DUALCHOP,Dual Chop,
61,TWISTER,Twister,
62,DRAGONRAGE,Dragon Rage,
63,DRAGONDANCE,Dragon Dance,
64,BOLTSTRIKE,Bolt Strike,
65,THUNDER,Thunder,
66,VOLTTACKLE,Volt Tackle,
67,ZAPCANNON,Zap Cannon,
68,FUSIONBOLT,Fusion Bolt,
69,THUNDERBOLT,Thunderbolt,
70,WILDCHARGE,Wild Charge,
71,DISCHARGE,Discharge,
72,THUNDERPUNCH,Thunder Punch,
73,VOLTSWITCH,Volt Switch,
74,SPARK,Spark,
75,THUNDERFANG,Thunder Fang,
76,SHOCKWAVE,Shock Wave,
77,ELECTROWEB,Electroweb,
78,CHARGEBEAM,Charge Beam,
79,THUNDERSHOCK,Thunder Shock,
80,ELECTROBALL,Electro Ball,
81,CHARGE,Charge,
82,MAGNETRISE,Magnet Rise,
