Move Number,Move Code Name,Move Full Name,Function Code
1,MEGAHORN,Megahorn,000
2,ATTACKORDER,Attack Order,000
3,BUGBUZZ,Bug Buzz,046
4,XSCISSOR,X-Scissor,000
5,SIGNALBEAM,Signal Beam,013
6,UTURN,U-turn,0EE
7,STEAMROLLER,Steamroller,010
8,BUGBITE,Bug Bite,0F4
9,SILVERWIND,Silver Wind,02D
10,STRUGGLEBUG,Struggle Bug,045
11,TWINEEDLE,Twineedle,0BE
12,FURYCUTTER,Fury Cutter,091
13,LEECHLIFE,Leech Life,0DD
14,PINMISSILE,Pin Missile,0C0
15,DEFENDORDER,Defend Order,02A
16,HEALORDER,Heal Order,0D5
17,QUIVERDANCE,Quiver Dance,02B
18,RAGEPOWDER,Rage Powder,117
19,SPIDERWEB,Spider Web,0EF
20,STRINGSHOT,String Shot,04D
21,TAILGLOW,Tail Glow,039
22,FOULPLAY,Foul Play,121
23,NIGHTDAZE,Night Daze,047
24,CRUNCH,Crunch,043
25,DARKPULSE,Dark Pulse,00F
26,SUCKERPUNCH,Sucker Punch,116
27,NIGHTSLASH,Night Slash,000
28,BITE,Bite,00F
29,FEINTATTACK,Feint Attack,0A5
30,SNARL,Snarl,045
31,ASSURANCE,Assurance,082
32,PAYBACK,Payback,084
33,PURSUIT,Pursuit,088
34,THIEF,Thief,0F1
35,KNOCKOFF,Knock Off,0F0
36,BEATUP,Beat Up,0C1
37,FLING,Fling,0F7
38,PUNISHMENT,Punishment,08F
39,DARKVOID,Dark Void,003
40,EMBARGO,Embargo,0F8
41,FAKETEARS,Fake Tears,04F
42,FLATTER,Flatter,040
43,HONECLAWS,Hone Claws,029
44,MEMENTO,Memento,000
45,NASTYPLOT,Nasty Plot,032
46,QUASH,Quash,11E
47,SNATCH,Snatch,0B2
48,SWITCHEROO,Switcheroo,0F2
49,TAUNT,Taunt,0BA
50,TORMENT,Torment,0B7
51,ROAROFTIME,Roar of Time,0C2
52,DRACOMETEOR,Draco Meteor,03F
53,OUTRAGE,Outrage,0D2
54,DRAGONRUSH,Dragon Rush,010
55,SPACIALREND,Spacial Rend,000
56,DRAGONPULSE,Dragon Pulse,000
57,DRAGONCLAW,Dragon Claw,000
58,DRAGONTAIL,Dragon Tail,0EC
59,DRAGONBREATH,Dragon Breath,007
60,DUALCHOP,Dual Chop,0BD
61,TWISTER,Twister,078
62,DRAGONRAGE,Dragon Rage,06B
63,DRAGONDANCE,Dragon Dance,026
64,BOLTSTRIKE,Bolt Strike,007
65,THUNDER,Thunder,008
66,VOLTTACKLE,Volt Tackle,0FD
67,ZAPCANNON,Zap Cannon,007
68,FUSIONBOLT,Fusion Bolt,079
69,THUNDERBOLT,Thunderbolt,007
70,WILDCHARGE,Wild Charge,0FA
71,DISCHARGE,Discharge,007
72,THUNDERPUNCH,Thunder Punch,007
73,VOLTSWITCH,Volt Switch,0EE
74,SPARK,Spark,007
75,THUNDERFANG,Thunder Fang,009
76,SHOCKWAVE,Shock Wave,0A5
77,ELECTROWEB,Electroweb,044
78,CHARGEBEAM,Charge Beam,020
79,THUNDERSHOCK,Thunder Shock,007
80,ELECTROBALL,Electro Ball,099
81,CHARGE,Charge,021
82,MAGNETRISE,Magnet Rise,119
83,THUNDERWAVE,Thunder Wave,007
84,FOCUSPUNCH,Focus Punch,115
85,HIGHJUMPKICK,High Jump Kick,10B
86,CLOSECOMBAT,Close Combat,03C
87,FOCUSBLAST,Focus Blast,046
88,SUPERPOWER,Superpower,03B
89,CROSSCHOP,Cross Chop,000
90,DYNAMICPUNCH,Dynamic Punch,013
91,HAMMERARM,Hammer Arm,03E
92,JUMPKICK,Jump Kick,10B
93,AURASPHERE,Aura Sphere,0A5
94,SACREDSWORD,Sacred Sword,0A9
95,SECRETSWORD,Secret Sword,122
96,SKYUPPERCUT,Sky Uppercut,11B
97,SUBMISSION,Submission,0FA
98,BRICKBREAK,Brick Break,10A
99,DRAINPUNCH,Drain Punch,0DD
100,VITALTHROW,Vital Throw,0A5
101,CIRCLETHROW,Circle Throw,0EC
102,FORCEPALM,Force Palm,007
103,LOWSWEEP,Low Sweep,044
104,REVENGE,Revenge,081
105,ROLLINGKICK,Rolling Kick,00F
106,WAKEUPSLAP,Wake-Up Slap,07D
107,KARATECHOP,Karate Chop,000
108,MACHPUNCH,Mach Punch,000
109,ROCKSMASH,Rock Smash,043
110,STORMTHROW,Storm Throw,0A0
111,VACUUMWAVE,Vacuum Wave,000
112,DOUBLEKICK,Double Kick,0BD
113,ARMTHRUST,Arm Thrust,0C0
114,TRIPLEKICK,Triple Kick,0BF
115,COUNTER,Counter,071
116,FINALGAMBIT,Final Gambit,000
117,LOWKICK,Low Kick,09A
118,REVERSAL,Reversal,098
119,SEISMICTOSS,Seismic Toss,06D
120,BULKUP,Bulk Up,024
121,DETECT,Detect,0AA
122,QUICKGUARD,Quick Guard,0AB
123,VCREATE,V-create,03D
124,BLASTBURN,Blast Burn,0C2
125,ERUPTION,Eruption,08B
126,OVERHEAT,Overheat,03F
127,BLUEFLARE,Blue Flare,00A
128,FIREBLAST,Fire Blast,00A
129,FLAREBLITZ,Flare Blitz,0FE
130,MAGMASTORM,Magma Storm,0CF
131,FUSIONFLARE,Fusion Flare,07A
132,HEATWAVE,Heat Wave,00A
133,INFERNO,Inferno,00A
134,SACREDFIRE,Sacred Fire,00A
135,SEARINGSHOT,Searing Shot,00A
136,FLAMETHROWER,Flamethrower,00A
137,BLAZEKICK,Blaze Kick,00A
138,FIERYDANCE,Fiery Dance,020
139,LAVAPLUME,Lava Plume,00A
140,FIREPUNCH,Fire Punch,00A
141,FLAMEBURST,Flame Burst,074
142,FIREFANG,Fire Fang,00B
143,FLAMEWHEEL,Flame Wheel,00A
144,FIREPLEDGE,Fire Pledge,107
145,FLAMECHARGE,Flame Charge,01F
146,EMBER,Ember,00A
147,FIRESPIN,Fire Spin,0CF
148,INCINERATE,Incinerate,0F5
149,HEATCRASH,Heat Crash,09B
150,SUNNYDAY,Sunny Day,0FF
151,WILLOWISP,Will-O-Wisp,00A
152,SKYATTACK,Sky Attack,0C7
153,BRAVEBIRD,Brave Bird,0FB
154,HURRICANE,Hurricane,015
155,AEROBLAST,Aeroblast,000
156,FLY,Fly,0C9
157,BOUNCE,Bounce,0CC
158,DRILLPECK,Drill Peck,000
159,AIRSLASH,Air Slash,00F
160,AERIALACE,Aerial Ace,0A5
161,CHATTER,Chatter,014
162,PLUCK,Pluck,0F4
163,SKYDROP,Sky Drop,0CE
164,WINGATTACK,Wing Attack,000
165,ACROBATICS,Acrobatics,086
166,AIRCUTTER,Air Cutter,000
167,GUST,Gust,077
168,PECK,Peck,000
169,DEFOG,Defog,049
170,FEATHERDANCE,Feather Dance,04B
171,MIRRORMOVE,Mirror Move,0AE
172,ROOST,Roost,0D6
173,TAILWIND,Tailwind,05B
174,SHADOWFORCE,Shadow Force,0CD
175,SHADOWBALL,Shadow Ball,046
176,SHADOWCLAW,Shadow Claw,000
177,OMINOUSWIND,Ominous Wind,02D
178,SHADOWPUNCH,Shadow Punch,0A5
179,HEX,Hex,07F
180,SHADOWSNEAK,Shadow Sneak,000
181,ASTONISH,Astonish,00F
182,LICK,Lick,007
183,NIGHTSHADE,Night Shade,06D
184,CONFUSERAY,Confuse Ray,013
185,CURSE,Curse,10D
186,DESTINYBOND,Destiny Bond,000
187,GRUDGE,Grudge,000
188,NIGHTMARE,Nightmare,10F
189,SPITE,Spite,10E
190,FRENZYPLANT,Frenzy Plant,0C2
191,LEAFSTORM,Leaf Storm,03F
192,PETALDANCE,Petal Dance,0D2
193,POWERWHIP,Power Whip,000
194,SEEDFLARE,Seed Flare,04F
195,SOLARBEAM,Solar Beam,0C4
196,WOODHAMMER,Wood Hammer,0FB
